genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total,time_range
[],https://api.spotify.com/v1/artists/5Rl15oVamLq7FbSb0NNBNy,5Rl15oVamLq7FbSb0NNBNy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb87cde49a53cfbdbecf68fe02', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517487cde49a53cfbdbecf68fe02', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17887cde49a53cfbdbecf68fe02', 'width': 160}]",5 Seconds of Summer,80,artist,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,https://open.spotify.com/artist/5Rl15oVamLq7FbSb0NNBNy,,10256250,short_term
[],https://api.spotify.com/v1/artists/6zlR5ttMfMNmwf2lecU9Cc,6zlR5ttMfMNmwf2lecU9Cc,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4a3dfbf28e00c02d9d9494e8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744a3dfbf28e00c02d9d9494e8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784a3dfbf28e00c02d9d9494e8', 'width': 160}]",Sam Fender,75,artist,spotify:artist:6zlR5ttMfMNmwf2lecU9Cc,https://open.spotify.com/artist/6zlR5ttMfMNmwf2lecU9Cc,,1227899,short_term
[],https://api.spotify.com/v1/artists/5N5jf98OOEf3uAIJpi1deD,5N5jf98OOEf3uAIJpi1deD,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe9eaaa14a495e236f1d53fa6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e9eaaa14a495e236f1d53fa6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e9eaaa14a495e236f1d53fa6', 'width': 160}]",The Royston Club,55,artist,spotify:artist:5N5jf98OOEf3uAIJpi1deD,https://open.spotify.com/artist/5N5jf98OOEf3uAIJpi1deD,,68966,short_term
['pop'],https://api.spotify.com/v1/artists/04gDigrS5kc9YWfZHwBETP,04gDigrS5kc9YWfZHwBETP,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f8349dfb619a7f842242de77', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f8349dfb619a7f842242de77', 'width': 160}]",Maroon 5,87,artist,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,,46056077,short_term
['soundtrack'],https://api.spotify.com/v1/artists/71jzN72g8qWMCMkWC5p1Z0,71jzN72g8qWMCMkWC5p1Z0,"[{'height': 1000, 'url': 'https://i.scdn.co/image/ab6772690000c46cf9a8d4c2fbbdba7962061bf9', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/ab6772690000dd22f9a8d4c2fbbdba7962061bf9', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/ab6772690000bac3f9a8d4c2fbbdba7962061bf9', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67726900008f74f9a8d4c2fbbdba7962061bf9', 'width': 64}]",Alexandre Desplat,64,artist,spotify:artist:71jzN72g8qWMCMkWC5p1Z0,https://open.spotify.com/artist/71jzN72g8qWMCMkWC5p1Z0,,348112,short_term
[],https://api.spotify.com/v1/artists/2Wm8x8bHxzCPLzp6k7IsLs,2Wm8x8bHxzCPLzp6k7IsLs,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe8cc58fbef2e59a6064ef198', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e8cc58fbef2e59a6064ef198', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e8cc58fbef2e59a6064ef198', 'width': 160}]",Dress & Tie,44,artist,spotify:artist:2Wm8x8bHxzCPLzp6k7IsLs,https://open.spotify.com/artist/2Wm8x8bHxzCPLzp6k7IsLs,,4754,short_term
[],https://api.spotify.com/v1/artists/08tfDO4dSrwxax35a3HIMC,08tfDO4dSrwxax35a3HIMC,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1d5fb5b560b966ca1177aefe', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741d5fb5b560b966ca1177aefe', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781d5fb5b560b966ca1177aefe', 'width': 160}]",Toshifumi Hinata,54,artist,spotify:artist:08tfDO4dSrwxax35a3HIMC,https://open.spotify.com/artist/08tfDO4dSrwxax35a3HIMC,,114191,short_term
[],https://api.spotify.com/v1/artists/0BNz24TKUn8Ov1ApFkLzA1,0BNz24TKUn8Ov1ApFkLzA1,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5dccbebbfca783199e7a4aa6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745dccbebbfca783199e7a4aa6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785dccbebbfca783199e7a4aa6', 'width': 160}]",Emile Mosseri,62,artist,spotify:artist:0BNz24TKUn8Ov1ApFkLzA1,https://open.spotify.com/artist/0BNz24TKUn8Ov1ApFkLzA1,,111869,short_term
[],https://api.spotify.com/v1/artists/6xLdhnXNYGeEckWv3Pp8nq,6xLdhnXNYGeEckWv3Pp8nq,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b0730ee8b8ac046e1f5f750d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b0730ee8b8ac046e1f5f750d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b0730ee8b8ac046e1f5f750d', 'width': 64}]",Over the Garden Wall,54,artist,spotify:artist:6xLdhnXNYGeEckWv3Pp8nq,https://open.spotify.com/artist/6xLdhnXNYGeEckWv3Pp8nq,,3008,short_term
['indie'],https://api.spotify.com/v1/artists/0NIPkIjTV8mB795yEIiPYL,0NIPkIjTV8mB795yEIiPYL,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebfde4e7d59f6d8868e2ffdaf5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174fde4e7d59f6d8868e2ffdaf5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178fde4e7d59f6d8868e2ffdaf5', 'width': 160}]",Wallows,69,artist,spotify:artist:0NIPkIjTV8mB795yEIiPYL,https://open.spotify.com/artist/0NIPkIjTV8mB795yEIiPYL,,3009472,short_term
